time, pressure
100.4178, 653.8911
100.5197, 651.7899
100.6194, 653.8911
100.7213, 653.9689
100.821, 654.0467
100.9209, 653.8132
101.0229, 653.6576
101.1228, 653.6576
101.2226, 652.179
101.3244, 651.9455
101.4243, 653.8911
101.5242, 654.1245
101.6241, 652.1012
101.7259, 652.0233
101.8258, 651.9455
101.9257, 653.8911
102.0276, 652.1012
102.1268, 652.0233
102.2287, 652.1012
102.3287, 652.0233
102.4285, 652.1012
102.5304, 651.7899
102.6301, 651.8677
102.7299, 652.0233
102.8318, 651.8677
102.9322, 652.179
103.0321, 652.0233
103.1318, 651.7899
103.2339, 651.9455
103.3338, 651.7899
103.4337, 651.9455
103.5356, 651.7121
103.6353, 651.9455
103.7352, 652.0233
103.837, 651.7899
103.9369, 652.0233
104.0367, 652.0233
104.1385, 651.9455
104.2384, 651.9455
104.3382, 651.9455
104.4402, 651.9455
104.5396, 652.0233
104.6415, 651.8677
104.7414, 651.9455
104.8411, 651.9455
104.9432, 651.8677
105.0432, 652.0233
105.143, 651.7899
105.2428, 652.0233
105.3446, 651.9455
105.4445, 651.7899
105.5444, 651.8677
105.6463, 651.7121
105.746, 651.9455
105.8479, 651.8677
105.9478, 652.0233
106.0477, 651.7899
106.1475, 651.9455
106.2494, 651.8677
106.3491, 651.7899
106.4493, 651.7899
106.5513, 651.7899
106.6511, 652.0233
106.7509, 651.8677
106.8528, 652.1012
106.9535, 651.7899
107.0535, 651.9455
107.1532, 651.8677
107.2551, 651.8677
107.3559, 652.0233
107.4558, 651.6342
107.5556, 651.8677
107.6575, 652.179
107.7572, 651.7121
107.857, 651.9455
107.9591, 651.9455
108.059, 651.7121
108.1587, 651.9455
108.2585, 652.179
108.3605, 651.7121
108.4604, 652.1012
108.5602, 651.7899
108.6621, 652.0233
108.7621, 652.0233
108.8618, 652.0233
108.9638, 651.9455
109.0637, 651.9455
109.1635, 652.0233
109.2654, 651.8677
109.3658, 651.7899
109.4658, 652.1012
109.5656, 651.8677
109.6675, 651.6342
109.7673, 651.9455
109.8671, 650.4669
109.9693, 650.7004
110.0696, 652.1012
110.1698, 650.856
110.2699, 651.7899
110.3705, 650.7004
110.4706, 652.0233
110.5727, 651.9455
110.6728, 650.856
110.7728, 651.9455
110.8729, 652.0233
110.973, 651.9455
111.0752, 652.1012
111.1754, 652.1012
111.2754, 650.7004
111.3758, 650.5447
111.476, 650.6226
111.5762, 650.5447
111.6783, 650.6226
111.7792, 650.6226
111.8793, 652.0233
111.9794, 650.3891
112.0794, 650.7004
112.1795, 650.7004
112.2818, 650.5447
112.382, 650.7782
112.4818, 650.3113
112.5815, 651.7121
112.6832, 650.4669
112.7829, 650.5447
112.8831, 651.7899
112.985, 650.3113
113.0849, 650.5447
113.1846, 650.4669
113.2863, 650.6226
113.3859, 650.5447
113.4876, 650.4669
113.5872, 650.2335
113.6868, 650.5447
113.7885, 650.0778
113.8881, 650.3113
113.99, 650.3113
114.0897, 650.4669
114.1893, 650.4669
114.2904, 650.5447
114.3922, 650.6226
114.4918, 650.7004
114.5914, 650.6226
114.6931, 650.5447
114.7926, 650.4669
114.8944, 650.5447
114.9942, 650.3891
115.0958, 650.5447
115.1951, 650.7004
115.2971, 650.7004
115.3968, 650.7004
115.4967, 650.7004
115.5966, 650.7782
115.6985, 650.6226
115.7983, 650.4669
115.9001, 650.7782
115.9999, 650.6226
116.0997, 650.3113
116.2017, 650.5447
116.3014, 650.5447
116.4011, 650.6226
116.5026, 650.6226
116.6027, 650.3891
116.7022, 650.5447
116.8045, 650.6226
116.9046, 650.6226
117.0048, 650.6226
117.1049, 650.3891
117.2072, 650.7782
117.3073, 650.6226
117.4078, 650.3113
117.5079, 650.5447
117.608, 650.5447
117.708, 650.4669
117.8101, 650.6226
117.9101, 650.4669
118.0103, 650.7004
118.1104, 648.7549
118.2105, 649.144
118.3126, 648.9883
118.4131, 648.9105
118.5132, 650.6226
118.6133, 648.7549
118.7133, 650.3891
118.8154, 649.0661
118.9154, 650.6226
119.0156, 648.8327
119.1151, 648.9105
119.2172, 648.8327
119.3172, 648.8327
119.4177, 648.9105
119.5179, 648.9105
119.618, 650.3891
119.7201, 648.9883
119.8201, 648.9883
119.9201, 648.9105
120.0205, 648.8327
120.1207, 648.9105
120.2229, 649.0661
120.3232, 649.0661
120.4237, 650.3113
120.5238, 648.9105
120.624, 649.144
120.7242, 648.9105
120.8242, 648.8327
120.9263, 648.9883
121.0265, 648.9883
121.1266, 648.9105
121.2267, 648.7549
121.3268, 648.9883
121.4293, 648.9105
121.5289, 649.144
121.629, 648.9883
121.7291, 649.0661
121.8291, 649.0661
121.9315, 649.144
122.0316, 648.9105
122.1318, 648.8327
122.2318, 648.9105
122.3318, 649.0661
122.4343, 648.8327
122.5345, 648.9883
122.6346, 648.9105
122.7346, 648.9883
122.8346, 649.0661
122.9347, 648.9883
123.0373, 649.0661
123.1374, 648.7549
123.2375, 648.9105
123.3376, 648.9105
123.4382, 649.144
123.5383, 648.9105
123.6384, 649.0661
123.7406, 648.8327
123.8407, 648.677
123.9414, 648.7549
124.0416, 649.0661
124.1416, 648.9105
124.2417, 648.9105
124.3438, 649.0661
124.4442, 648.9105
124.5445, 648.9105
124.6446, 648.9105
124.7447, 648.9883
124.8447, 649.144
124.9468, 648.9883
125.0471, 648.8327
125.1472, 648.9105
125.2474, 648.8327
125.3474, 648.9883
125.4501, 648.9105
125.5482, 648.8327
125.6503, 648.9883
125.7504, 649.0661
125.8504, 648.8327
125.9505, 648.9105
126.0527, 648.9105
126.1528, 647.1206
126.2528, 647.8988
126.3536, 649.0661
126.4544, 647.4319
126.5547, 647.1984
126.6548, 648.9883
126.7548, 647.1984
126.8569, 647.3541
126.957, 647.1984
127.0571, 646.965
127.1571, 646.965
127.2572, 647.1984
127.3594, 647.1206
127.4598, 647.1984
127.56, 647.1984
127.66, 647.1206
127.7601, 647.3541
127.8601, 647.0428
127.9624, 647.1206
128.0625, 647.0428
128.1621, 646.8872
128.2638, 647.1984
128.3635, 646.965
128.4632, 647.1984
128.5638, 647.2763
128.6655, 647.2763
128.7658, 647.1984
128.8655, 647.1984
128.9673, 647.2763
129.0672, 647.1984
129.1669, 647.1984
129.2685, 647.0428
129.3682, 647.1206
129.4699, 646.8872
129.5695, 647.2763
129.6691, 647.1206
129.7708, 647.1984
129.8704, 647.3541
129.9722, 647.1206
130.0722, 647.1206
130.1718, 647.4319
130.2735, 647.1984
130.3731, 647.2763
130.4748, 647.0428
130.5745, 647.3541
130.6763, 647.1206
130.7759, 647.3541
130.8756, 647.2763
130.9779, 647.4319
131.0778, 647.1984
131.1776, 647.4319
131.2768, 647.1984
131.3787, 646.965
131.4788, 647.1984
131.5807, 647.1984
131.6805, 647.3541
131.7803, 647.4319
131.8821, 647.0428
131.9822, 647.1984
132.082, 647.2763
132.1838, 647.1984
132.2836, 647.2763
132.3833, 647.2763
132.4851, 647.1984
132.5851, 647.1984
132.6848, 647.3541
132.7867, 647.1984
132.8864, 647.1984
132.9865, 647.0428
133.0885, 646.965
133.1883, 647.3541
133.2881, 647.3541
133.39, 646.965
133.4898, 647.0428
133.5897, 647.2763
133.691, 647.0428
133.7908, 647.2763
133.8926, 647.0428
133.9928, 647.1984
134.0926, 647.4319
134.1924, 647.1984
134.2943, 646.965
134.3941, 647.2763
134.4939, 645.642
134.5959, 645.4086
134.6956, 645.2529
134.7975, 646.4202
134.8972, 645.0973
134.9973, 645.2529
135.097, 645.5642
135.1989, 645.2529
135.2987, 645.1751
135.3985, 645.3307
135.5005, 645.4086
135.6003, 645.1751
135.7001, 645.3307
135.8024, 645.4864
135.9026, 645.4086
136.0029, 645.4086
136.1025, 645.4864
136.2047, 645.7198
136.3048, 645.4864
136.4051, 645.1751
136.5053, 645.3307
136.605, 645.4086
136.7067, 645.4086
136.8064, 645.4086
136.9082, 645.3307
137.0079, 645.3307
137.1076, 645.3307
137.2093, 645.2529
137.3089, 645.4086
137.4106, 645.2529
137.5104, 645.2529
137.6101, 645.5642
137.7124, 645.3307
137.8126, 645.3307
137.9127, 645.2529
138.0129, 645.4086
138.1129, 645.3307
138.2151, 645.3307
138.3152, 645.2529
138.4154, 645.4864
138.5152, 645.5642
138.6154, 645.4864
138.7158, 645.3307
138.8181, 645.2529
138.9181, 645.4864
139.0183, 645.2529
139.1184, 645.2529
139.2185, 645.7977
139.3206, 645.3307
139.4207, 645.3307
139.5211, 645.2529
139.6213, 643.8521
139.7215, 645.3307
139.8215, 645.4864
139.9236, 645.4864
140.0237, 645.2529
140.1238, 645.4086
140.2238, 645.4864
140.3238, 645.3307
140.4259, 645.4864
140.5264, 645.4086
140.6265, 645.4864
140.7266, 645.2529
140.8267, 645.2529
140.9296, 645.2529
141.0277, 645.3307
141.1298, 645.1751
141.2297, 645.3307
141.3295, 645.4864
141.4292, 645.4086
141.5313, 645.2529
141.6311, 645.4086
141.731, 645.2529
141.8328, 645.3307
141.9326, 645.2529
142.0327, 645.4864
142.1345, 645.3307
142.2344, 645.0195
142.3342, 645.4864
142.436, 645.4864
142.5358, 645.1751
142.6359, 645.3307
142.7378, 645.0973
142.8376, 645.3307
142.9374, 645.5642
143.0375, 645.642
143.1394, 645.3307
143.2391, 645.1751
143.3396, 645.2529
143.4414, 644.1634
143.5412, 643.93
143.6412, 644.0078
143.7414, 643.8521
143.8433, 645.4086
143.9432, 643.7743
144.0434, 643.7743
144.1432, 644.0078
144.2452, 643.6187
144.345, 643.93
144.4448, 645.0973
144.5467, 645.3307
144.6466, 645.3307
144.7463, 643.93
144.8483, 645.2529
144.9481, 645.0195
145.0482, 643.6965
145.1501, 645.1751
145.25, 645.2529
145.3501, 644.0078
145.4503, 643.8521
145.553, 644.0078
145.6511, 643.93
145.754, 644.0078
145.8541, 644.0078
145.9541, 643.93
146.0543, 644.2412
146.1544, 643.8521
146.2544, 644.2412
146.3566, 644.0856
146.4568, 643.8521
146.5578, 643.7743
146.658, 643.93
146.7581, 644.0856
146.8583, 644.0078
146.9583, 644.0856
147.0585, 644.0078
147.1607, 644.0856
147.2607, 643.7743
147.3608, 643.93
147.4608, 643.6965
147.5611, 643.93
147.6613, 644.0078
147.7634, 643.8521
147.8634, 643.8521
147.9634, 644.0078
148.0635, 643.93
148.1655, 643.93
148.2657, 643.8521
148.3658, 644.0856
148.4659, 644.0856
148.5664, 644.0078
148.6666, 643.7743
148.7687, 643.8521
148.8687, 644.1634
148.9688, 643.93
149.069, 644.2412
149.1691, 643.93
149.2713, 644.0078
149.3714, 643.93
