time, force
140.4259, -93.63563579528238
140.5264, -93.64252563754964
140.6265, -93.64367394459418
140.7266, -93.68242930734758
140.8267, -93.66405639463485
140.9296, -93.6770705411397
141.0277, -93.68941484186855
141.1298, -93.68587422848121
141.2297, -93.68070684678077
141.3295, -93.68242930734758
141.4292, -93.73276343280013
141.5313, -93.72443820672717
141.6311, -93.72721328208482
141.731, -93.68463022918296
141.8328, -93.70233329611969
141.9326, -93.69821852921007
142.0327, -93.74539481029011
142.1345, -93.75180619128882
142.2344, -93.76242803145085
142.3342, -93.7358255849189
142.436, -93.731806510263
142.5358, -93.75678218848185
142.6359, -93.7778344842985
142.7378, -93.756399419467
142.8376, -93.7849157110732
142.9374, -93.78682955614744
143.0375, -93.76702125962903
143.1394, -93.78539417234175
143.2391, -93.80864738999378
143.3396, -93.80233170124879
143.4414, -93.8016618554728
143.5412, -93.82654184143794
143.6412, -93.83544122103316
143.7414, -93.8397473724502
143.8433, -93.86567997320617
143.9432, -93.84874244429913
144.0434, -93.8381206041371
144.1432, -93.83352737595892
144.2452, -93.8531442879699
144.345, -93.84979505908997
144.4448, -93.86338335911708
144.5467, -93.87046458589178
144.6466, -93.88874180635078
144.7463, -93.85869443868519
144.8483, -93.90701902680979
144.9481, -93.88395719366518
145.0482, -93.90242579863161
145.1501, -93.87965104224814
145.25, -93.95113315577105
145.3501, -93.95199438605445
145.4503, -93.92749716910417
145.553, -93.97744852554186
145.6511, -93.94309500645923
145.754, -93.93936300856446
145.8541, -93.93831039377363
145.9541, -93.99055836430041
146.0543, -93.95275992408415
146.1544, -93.97151560581172
146.2544, -93.97170699031913
146.3566, -93.97917098610868
146.4568, -93.97563037272134
146.5578, -93.96070238114226
146.658, -94.03228018691887
146.7581, -94.02998357282978
146.8583, -93.98912298049474
146.9583, -94.0419451045438
147.0585, -94.00979250729654
147.1607, -94.00854850799828
147.2607, -94.03017495733721
147.3608, -94.05361955949667
147.4608, -94.07821246870067
147.5611, -94.06366724613643
147.6613, -94.05122725315387
147.7634, -94.06759062853862
147.8634, -94.09792507296535
147.9634, -94.06242324683818
148.0635, -94.0762029313727
148.1655, -94.08749461731074
148.2657, -94.11438414060382
148.3658, -94.14079520262835
148.4659, -94.12156105963223
148.5664, -94.11007798918678
148.6666, -94.11132198848503
148.7687, -94.10931245115708
148.8687, -94.10979091242564
148.9688, -94.15371365687948
149.069, -94.15955088435592
149.1691, -94.19361732667741
149.2713, -94.17170380057735
149.3714, -94.192756096394
149.4714, -94.17801948932234
149.5718, -94.17342626114417
149.672, -94.18299548651537
149.7741, -94.1831868710228
149.8741, -94.17304349212932
149.9743, -94.20538747388399
150.0745, -94.20816254924165
150.1747, -94.22902346055088
150.2748, -94.1974450168259
150.3771, -94.19840193936301
150.4771, -94.20299516754119
150.5775, -94.21428685347922
150.6771, -94.24471699015965
150.7793, -94.27390312754183
150.8794, -94.26050621202214
150.9794, -94.2767738951532
151.0796, -94.26500374794661
151.1796, -94.23304253520678
151.2817, -94.20490901261543
151.3819, -94.23055453661027
151.482, -94.2403151464889
151.5826, -94.2713194366916
151.6828, -94.22222931053732
151.7828, -94.28663019728553
151.8828, -94.25486036905313
151.985, -94.33591170794725
152.0853, -94.31218002902665
152.1854, -94.33103140300793
152.2854, -94.29878311350697
152.3854, -94.24366437536882
152.4875, -94.2840465064353
152.5879, -94.26012344300729
152.688, -94.32433294524809
152.788, -94.33208401779876
152.8879, -94.32375879172581
152.99, -94.33744278400664
153.0898, -94.3093092614153
153.1899, -94.34481108754247
153.292, -94.32959601920226
153.3919, -94.36854276646307
153.4919, -94.37304030238752
153.5923, -94.40557566864963
153.6924, -94.3356246311861
153.7944, -94.33380647836559
153.8944, -94.36452369180715
153.9944, -94.36366246152375
154.0945, -94.41839843064704
154.1966, -94.36461938406086
154.2974, -94.39437967496532
154.3977, -94.3870113714295
154.4978, -94.35294492910799
154.5983, -94.34758616290011
154.6984, -94.33906955231974
154.7984, -94.40720243696273
154.8984, -94.44289564759734
155.0007, -94.42394858136234
155.1011, -94.37237045661155
155.2011, -94.4181113538859
155.301, -94.42701073348113
155.401, -94.45504856381876
155.5026, -94.49744023221321
155.603, -94.45504856381876
155.7032, -94.48528731599177
155.8033, -94.3911261383391
155.9054, -94.4196424299453
156.0055, -94.44835010605892
156.1055, -94.4727516307555
156.2054, -94.45208210395369
156.3056, -94.47935439626163
156.4076, -94.50126792236169
156.5078, -94.45638825537074
156.6078, -94.43973780322483
156.7076, -94.44854149056634
156.8095, -94.47246455399436
156.9092, -94.42375719685492
157.0093, -94.48413900894722
157.1113, -94.42930734757022
157.2111, -94.48854085261799
157.3109, -94.47428270681489
157.4127, -94.47610085963542
157.5125, -94.51753560549274
157.6123, -94.47925870400792
157.7141, -94.49849284700404
157.8143, -94.53801374778712
157.9151, -94.48528731599177
158.0152, -94.51830114352244
158.1154, -94.4854787004992
158.2155, -94.48672269979745
158.3178, -94.46863686384587
158.4179, -94.51782268225388
158.5179, -94.4775362434411
158.6183, -94.47083778568125
